lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
judkaceń,f,jurisdiction,jurysdykcja,dictionary_steenbergen,any,latin_learned__claude,iurisdictionem,,,
kardiolog,m,cardiologist,kardiolog,dictionary_steenbergen,any,latin_learned__claude,cardiologum,,,
katolicyzm,m,Catholicism,katolicyzm,dictionary_steenbergen,any,latin_learned__claude,catholicismum,,,
klinika,f. I,clinic,klinika,dictionary_steenbergen,any,latin_learned__claude,clinicam,,,
koaliceń,f,coalition,koalicja,dictionary_steenbergen,any,latin_learned__claude,coalitionem,,,
kofierzmaceń,f,confirmation,potwierdzenie,dictionary_steenbergen,any,latin_learned__claude,confirmationem,,,
kołaceń,f,dinner,kolacja,dictionary_steenbergen,any,latin_learned__claude,collationem,,,
konfederaceń,f,confederation,konfederacja,dictionary_steenbergen,any,latin_learned__claude,confoederationem,,,
konfrontaceń,f,confrontation,konfrontacja,dictionary_steenbergen,any,latin_learned__claude,confrontationem,,,
konserwacista,m. I,conservative,konserwatysta,dictionary_steenbergen,any,latin_learned__claude,conservatistam,,,
kombinaceń,f,combination,kombinacja,dictionary_steenbergen,any,latin_learned__claude,combinationem,,,
imitar,"v, 1",imitate,imitować,dictionary_steenbergen,any,latin_learned__claude,imitare,,,
informaceń,f,information,informacja,dictionary_steenbergen,any,latin_learned__claude,informationem,,,
inspirar,"v, 1",inspire,inspirować,dictionary_steenbergen,any,latin_learned__claude,inspirare,,,
instytuceń,f,institution,instytucja,dictionary_steenbergen,any,latin_learned__claude,institutionem,,,
inteliżęca,f. I,intelligence,inteligencja,dictionary_steenbergen,any,latin_learned__claude,intelligentiam,,,
inteliżęci,adj,intelligent,inteligentny,dictionary_steenbergen,any,latin_learned__claude,intelligentem + is,,,
interes,m,"cause, interest",interes,dictionary_steenbergen,any,latin_learned__claude,interesse,,,
interesar,"v, 1",interest,interesować,dictionary_steenbergen,any,latin_learned__claude,interessare,,,
interesęci,adj,interesting,interesujący,dictionary_steenbergen,any,latin_learned__claude,interessantem + is,,,
łaciny,adj,Latin,łaciński,dictionary_steenbergen,any,latin_learned__claude,latinum + is,,,
łokały,adj,local,miejscowy,dictionary_steenbergen,any,latin_learned__claude,localem + is,,,
łokar,"v, 1",place,mieścić,dictionary_steenbergen,any,latin_learned__claude,locare,,,
pedagogicy,adj,pedagogical,pedagogiczny,dictionary_steenbergen,any,latin_learned__claude,paedagogicum + is,,,
pornograficy,adj,pornographic,pornograficzny,dictionary_steenbergen,any,latin_learned__claude,pornographicum + is,,,
probar,"v, 1","inspect, examine","doglądać, dozorować",dictionary_steenbergen,any,latin_learned__claude,probare,,,
probaceń,f,"inspection, examination","inspekcja, dozór",dictionary_steenbergen,any,latin_learned__claude,probationem,,,
probabieltać,f,probability,prawdopodobieństwo,dictionary_steenbergen,any,latin_learned__claude,probabilitatem,,,
probablemięć,adv,probably,prawdopodobny,dictionary_steenbergen,any,latin_learned__claude,probabilem + mente,,,
problem,m,problem,problem,dictionary_steenbergen,any,latin_learned__claude,problema,,,
senatórz,m,senator,senator,dictionary_steenbergen,any,latin_learned__claude,senatorem,,,
talentaty,adj,talented,utalentowany,dictionary_steenbergen,any,latin_learned__claude,talentatum + is,,,
teledysk,m,video clip,teledysk,dictionary_steenbergen,any,latin_learned__claude,tele- + discum,,,
telefon,n,telephone,telefon,dictionary_steenbergen,any,latin_learned__claude,telephonum,,,
telefonar,"v, 1",phone,telefonować,dictionary_steenbergen,any,latin_learned__claude,telephonare,,,
telekomunikaceń,f,telecommunication,telekomunikacja,dictionary_steenbergen,any,latin_learned__claude,telecommunicationem,,,
tragicy,adj,tragic,tragiczny,dictionary_steenbergen,any,latin_learned__claude,tragicum + is,,,
szarmęci,adj,charming,uroczy,dictionary_steenbergen,any,french__claude,charmant,,,
szok,m,shock,szok,dictionary_steenbergen,any,english__claude,shock,,,
organizaceń,f,organisation,organizacja,dictionary_steenbergen,any,latin_learned__claude,organizationem,,,
organ,m,organ,organ,dictionary_steenbergen,any,latin_learned__claude,organum,,,
organie,m. pl.,organ,organy,dictionary_steenbergen,any,latin_learned__claude,organa,,,
orzętały,adj,eastern,wschodni,dictionary_steenbergen,any,latin_learned__claude,orientalem + is,,,
lęgwista,m. I,linguist,językoznawca,dictionary_steenbergen,any,latin_learned__claude,linguistam,,,
lęgwistycy,adj,linguistic,lingistyczny,dictionary_steenbergen,any,latin_learned__claude,linguisticum + is,,,
czywiltać,f,civility,uprzejmość,dictionary_steenbergen,any,latin_inherited__claude,civilitatem,,,
czywilzaceń,f,civilisation,cywilizacja,dictionary_steenbergen,any,latin_inherited__claude,civilizationem,,,
czywilzaty,adj,civilised,cywilizowany,dictionary_steenbergen,any,latin_inherited__claude,civilizatum + is,,,
dłuctydzień,f,sweetness,słodkość,dictionary_steenbergen,any,latin_inherited__claude,dulcedinem,,,
dłuczeń,f,candy,słodycz,dictionary_steenbergen,any,latin_inherited__claude,dulciam,,,
czętypliczy,adj,hundredfold,stokrotny,dictionary_steenbergen,any,latin_inherited__claude,centuplicem + is,,,
dmółtuzy,adj,tumultuous,hałaśliwy,dictionary_steenbergen,any,latin_inherited__claude,tumultuosum + is,,,
gratłar,"v, 1",thank,dziękować,dictionary_steenbergen,any,latin_learned__claude,gratulare,,,
gratłęć,prep +3,thanks to,dzięki,dictionary_steenbergen,any,latin_learned__claude,gratias,,,
grawtać,f,gravity,"ciężkość, przyciąganie ziemskie",dictionary_steenbergen,any,latin_inherited__claude,gravitatem,,,
frocar,"v, 2",force,zmuszać,dictionary_steenbergen,any,latin_inherited__claude,fortiare,,,
gracuzy,adj,gracious,powabny,dictionary_steenbergen,any,latin_inherited__claude,gratiosum + is,,,
graczyły,adj,meager,chudy,dictionary_steenbergen,any,latin_inherited__claude,gracilem + is,,,
jałtry,adj,other,inny,dictionary_steenbergen,any,latin_inherited__claude,alterum + is,,,
jałtydzień,f,height,wysokość,dictionary_steenbergen,any,latin_inherited__claude,altitudinem,,,
jekwilibra,f. I,balance,równowaga,dictionary_steenbergen,any,latin_inherited__claude,aequilibram,,,
karta,f. I,card,karta,dictionary_steenbergen,any,latin_inherited__claude,chartam,,,
kartać,f,expensiveness,kosztowność,dictionary_steenbergen,any,latin_inherited__claude,caritatem,,,
karwar,"v, 1","bow, bend",krzywić,dictionary_steenbergen,any,latin_inherited__claude,curvare,,,
kuzar,"v, 1",cause,powodować,dictionary_steenbergen,any,latin_inherited__claude,causare,,,
kanalizaceń,f,sewers,kanalizacja,dictionary_steenbergen,any,latin_inherited__claude,canalizationem,,,
kocidzan,adv,daily,codziennie,dictionary_steenbergen,any,latin_inherited__claude,cotidiane,,,
kocięwaceń,f,continuation,przedłużenie,dictionary_steenbergen,any,latin_inherited__claude,continuationem,,,
kocięwu,adv,continuously,ciągle,dictionary_steenbergen,any,latin_inherited__claude,continue,,,
kołuniały,adj,colonial,kolonialny,dictionary_steenbergen,any,latin_inherited__claude,colonialem + is,,,
kwart,m,quarter,ćwierć,dictionary_steenbergen,any,latin_inherited__claude,quartum,,,
kwartał,m,quarter of a year,kwartał,dictionary_steenbergen,any,latin_inherited__claude,quartalem,,,
kwiaty,adj,quiet,spokojny,dictionary_steenbergen,any,latin_inherited__claude,quietum + is,,,
dzięcista,m. I,dentist,dentysta,dictionary_steenbergen,any,latin_inherited__claude,dentistam,,,
łoniąc,adv,far away,daleko,dictionary_steenbergen,any,latin_inherited__claude,longe,,,
łonierzy,adj,further (comparative of łonięcy),dalszy,dictionary_steenbergen,any,latin_inherited__claude,longiorem + is,,,
łonięcy,adj,far,daleki,dictionary_steenbergen,any,latin_inherited__claude,longinquam + is,,,
łoniu,adv,further,dalej,dictionary_steenbergen,any,latin_inherited__claude,longius,,,
"marz, -e",n,sea,morze,dictionary_steenbergen,any,latin_inherited__claude,mare,,,
motyw,n,motive,"motyw, bodziec",dictionary_steenbergen,any,latin_learned__claude,motivum,,,
mółci,adv,many,wielu,dictionary_steenbergen,any,latin_inherited__claude,multis,,,
mierzydzany,adj,southern,południowy,dictionary_steenbergen,any,latin_inherited__claude,meridionalem + is,,,
mierzyt,n,merit,zasługa,dictionary_steenbergen,any,latin_inherited__claude,meritum,,,
łągidy,adj,lazy,leniwy,dictionary_steenbergen,any,latin_inherited__claude,languidem + is,,,
łągieśmy,adj,longest (superlative of łągi),najdłuższy,dictionary_steenbergen,any,latin_inherited__claude,longissimum + is,,,
ośpiecaceń,f,expectation,oczekiwanie,dictionary_steenbergen,any,latin_inherited__claude,expectationem,,,
ośpiecar,"v, 1",expect,oczekiwać,dictionary_steenbergen,any,latin_inherited__claude,expectare,,,
ośpieczer,"v, 7","watch, look at","oglądać, przyglądać się",dictionary_steenbergen,any,latin_inherited__claude,spectare,,,
ośpieć,m,guest,gość,dictionary_steenbergen,any,latin_inherited__claude,hospitem,,,
prota,f. I,gate,brama,dictionary_steenbergen,any,latin_inherited__claude,portam,,,
protar,prep +1,because of,z powodu,dictionary_steenbergen,any,latin_inherited__claude,portare,,,
protest,n,protest,protest,dictionary_steenbergen,any,latin_learned__claude,protestum,,,
szpuzały,adj,matrimonial,małżeński,dictionary_steenbergen,any,latin_inherited__claude,sponsalem + is,,,
szpuzar,"v, 1",marry,poślubić,dictionary_steenbergen,any,latin_inherited__claude,sponsare,,,
siarar,"v, 1",saw,piłować,dictionary_steenbergen,any,latin_inherited__claude,serrare,,,
stabeł,n,stable,stajnia,dictionary_steenbergen,any,latin_inherited__claude,stabulum,,,
stabler,"v, 5","establish, settle",ustalić,dictionary_steenbergen,any,latin_inherited__claude,stabilire,,,
stabły,adj,stable,stabilny,dictionary_steenbergen,any,latin_inherited__claude,stabilem + is,,,
stacier,"v, 7",put (in an upward position),stawić,dictionary_steenbergen,any,latin_inherited__claude,statuere,,,
starn,m,starling,szpak,dictionary_steenbergen,any,latin_inherited__claude,sturnum,,,
stat,m,state,"stan, państwo",dictionary_steenbergen,any,latin_inherited__claude,statum,,,
statarzy,adj,state,państwowy,dictionary_steenbergen,any,latin_inherited__claude,statalem + is,,,
statycy,adj,static,statyczny,dictionary_steenbergen,any,latin_inherited__claude,staticum + is,,,
strat,m,"street, pavement",bruk,dictionary_steenbergen,any,latin_inherited__claude,stratam,,,
strarodnarzy,adj,extraordinary,niezwykły,dictionary_steenbergen,any,latin_inherited__claude,extraordinarium + is,,,
traziceń,f,transition,przejście,dictionary_steenbergen,any,latin_inherited__claude,transitionem,,,
trazmędar,"v, 1",pass over,przekazywać,dictionary_steenbergen,any,latin_inherited__claude,transmandare,,,
trazmiecier,"v, irr.","transmit, broadcast","rozgłaszać, transmitować",dictionary_steenbergen,any,latin_inherited__claude,transmittere,,,
trazmieżeń,f,"transmission, broadcast",transmisja,dictionary_steenbergen,any,latin_inherited__claude,transmissionem,,,
szejsprzedczy,num,sixteen,szesnaście,dictionary_steenbergen,any,latin_inherited__claude,sedecim,,,
szejsprzedzieśmy,num,sixteenth,szesnasty,dictionary_steenbergen,any,latin_inherited__claude,sedecimum + is,,,
szejczęcieśmy,num,six hundredth,sześćsetny,dictionary_steenbergen,any,latin_inherited__claude,sexcentesimum + is,,,
trzeczęcieśmy,num,three hundredth,trzysetny,dictionary_steenbergen,any,latin_inherited__claude,trecentesimum + is,,,
trzeczęta,num,three hundred,trzysta,dictionary_steenbergen,any,latin_inherited__claude,trecenta,,,
trzesprzedczy,num,thirteen,trzynaście,dictionary_steenbergen,any,latin_inherited__claude,tredecim,,,
kotryczęcieśmy,num,four hundredth,czterysetny,dictionary_steenbergen,any,latin_inherited__claude,quadringentesimum + is,,,
kotryczęta,num,four hundred,czterysta,dictionary_steenbergen,any,latin_inherited__claude,quadringenta,,,
kotrysprzedczy,num,fourteen,czternaście,dictionary_steenbergen,any,latin_inherited__claude,quattuordecim,,,
kotrysprzedzieśmy,num,fourteenth,czternasty,dictionary_steenbergen,any,latin_inherited__claude,quattuordecimum + is,,,
kotrzybytar,"v, 1",contribute,wkładać,dictionary_steenbergen,any,latin_learned__claude,contribuere,,,
duczęcieśmy,num,two hundredth,dwusetny,dictionary_steenbergen,any,latin_inherited__claude,ducentesimum + is,,,
duczęta,num,two hundred,dwieście,dictionary_steenbergen,any,latin_inherited__claude,ducentum,,,
kwiąkwaśmy,num,fiftieth,pięćdziesiąty,dictionary_steenbergen,any,latin_inherited__claude,quinquagesimum + is,,,
kwiąkwięta,num,fifty,pięćdziesiąt,dictionary_steenbergen,any,latin_inherited__claude,quinquaginta,,,
tardzu,adv,later,później,dictionary_steenbergen,any,latin_inherited__claude,tardius,,,
trzesprzedzieśmy,num,thirteenth,trzynasty,dictionary_steenbergen,any,latin_inherited__claude,tredecimum + is,,,
trzęta,num,thirty,trzydzięsci,dictionary_steenbergen,any,latin_inherited__claude,triginta,,,
trzyjaśmy,num,thirtieth,trzydziesty,dictionary_steenbergen,any,latin_inherited__claude,trigesimum + is,,,
pieszkatórz,m,fisher,rybak,dictionary_steenbergen,any,latin_inherited__claude,piscatorem,,,
"pies, psu",m,pea,groch,dictionary_steenbergen,any,latin_inherited__claude,pisam,,,
spłudar,"v, 1",explode,"wybuchać, eksplodować",dictionary_steenbergen,any,latin_inherited__claude,explodere,,,
spłurar,"v, 1",explore,"badać, eksplorować",dictionary_steenbergen,any,latin_inherited__claude,explorare,,,
spłuratórz,m,explorer,"badacz, eksplorator",dictionary_steenbergen,any,latin_inherited__claude,exploratorem,,,
trzebdar,"v, 1",fear,bać się,dictionary_steenbergen,any,latin_inherited__claude,trepidare,,,
tron,m,throne,tron,dictionary_steenbergen,any,latin_inherited__claude,thronum,,,
szkale,f. pl.,stairs,schody,dictionary_steenbergen,any,latin_inherited__claude,scalas,,,
śrewier,"v, 5",serve,służyć,dictionary_steenbergen,any,latin_inherited__claude,servire,,,
ślęca,f. I,silence,cisza,dictionary_steenbergen,any,latin_inherited__claude,silentiam,,,
srodzier,"v, 5",make dirty,"brudzić, śmiecić",dictionary_steenbergen,any,latin_inherited__claude,sordire,,,
kunieszczer (pp. kunity),"v, 8","know (somebody, language, etc.)",znać,dictionary_steenbergen,any,latin_inherited__claude,cognoscere,,,
kunieszczęca,f. I,knowledge,wiedza,dictionary_steenbergen,any,latin_inherited__claude,cognitionem,,,
płąbik,m,pencil,ołówek,dictionary_steenbergen,any,latin_inherited__claude,plumbiculum,,,
"płętażeń, -żnie",f,plantain,babka (roślina),dictionary_steenbergen,any,latin_inherited__claude,plantaginam,,,
rodnar,"v, 1",furnish,"meblować, uporządkować",dictionary_steenbergen,any,latin_inherited__claude,ordinare,,,
rodnarzy,adj,"normal, ordinary",zwykły,dictionary_steenbergen,any,latin_inherited__claude,ordinariam + is,,,
